pcs0,pcs1,pcs2,pcs3,pcs4
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.5,0.2,0.18181818181818182,0.10526315789473684,0.14285714285714285
0.25,1.0,0.25,0.15384615384615385,0.2
0.25,1.0,0.25,0.15384615384615385,0.2
0.25,1.0,0.25,0.15384615384615385,0.2
0.25,1.0,0.2857142857142857,0.15384615384615385,0.2
0.25,1.0,0.25,0.15384615384615385,0.2
0.25,1.0,0.2857142857142857,0.15384615384615385,0.2
0.25,1.0,0.2857142857142857,0.15384615384615385,0.2
0.25,1.0,0.2857142857142857,0.15384615384615385,0.2
0.25,1.0,0.2857142857142857,0.15384615384615385,0.2
0.25,1.0,0.2857142857142857,0.15384615384615385,0.2
0.25,1.0,0.2857142857142857,0.15384615384615385,0.2
0.25,1.0,0.2857142857142857,0.15384615384615385,0.2
